S/N,LGA,TOWN/WARDS,FOOD,CLOTHING,DANCE,RELIGION,FESTIVALS,MUSIC/INSTRUMENTS,LANGUAGE,DIALECT,GIS LOCATION,LEADERSHIP
22,Odeda,Olokemeji,"staples (yam, cassava), leafy-vegetable soups; food often farm-sourced.",formal Yoruba for ceremonies; casual modern for everyday.,traditional drumming ensembles used at rites and festivals," Christian churches, mosques, and some traditional worship", harvest/market events and occasional chieftaincy/civic celebrations,percussion-driven; local recorded Yoruba music played at gatherings,"Yoruba
",Egba,"7°13′N, 3°31′E",Oba
23,Odeda,Kugbajagbe," local regional staples (yam, amala/gari, soups).",Yoruba ceremonial attire when needed,village drum groups for weddings/funerals,"Christianity, Islam, traditional religion.",town days and harvest observances,talking drums and vocal praise-singers.,"Yoruba
",Egba,"7°13′N, 3°31′E","Oba, Baale"
24,Odeda,Obantoko,"typical Egba fare — yam, efo, stews.",Yoruba ceremonial fashions for social events,local performance troupes for ceremonies; drumming central, mixed (churches and mosques present),"funerary rites, market/harvest days; chieftaincy events when relevant"," drum ensembles (talking drum, bata), praise singers","Yoruba
",Egba,"7°13′N, 3°31′E","Baale, Chief"
25,Odeda,Adao,"yam/cassava staples, soups with local greens.", traditional Yoruba cloth at ceremonies., age-grade and funeral/wedding dances.," Christianity, Islam and indigenous beliefs",community and harvest festivals,percussion and vocal tradition.,"Yoruba
",Egba,"7°13′N, 3°31′E",Oba
26,Odeda,Alabata,standard regional staples; market-sourced fresh produce,Aso-oke or Ankara for ceremonies; everyday western clothes,drumming and dancing at communal events," churches, mosques, traditional practitioners.", local town day / chieftaincy and harvest celebrations.," talking drums, sekere; recorded Yoruba songs at gatherings","Yoruba
",Egba,"7°13′N, 3°31′E","Baale, Oba"
27,Odeda,Opeji," yam, cassava, local soups; staple rural diet.", Yoruba ceremonial dress on formal occasions.," wedding, funeral and festival drumming & dancing."," Christianity, Islam and traditional worship", market/harvest events and community rites,percussion ensembles and praise-singing.,"Yoruba
",Egba,"7°13′N, 3°31′E","Baale, Chief"
28,Odeda,Obete,"local staples (yam, cassava) and vegetable-based soups", traditional clothing at ceremonies; modern wear daily., local drum-based dances for social rituals, mixed faiths (church/mosque/traditional)., town observances and harvest celebrations,"talking drum, bata and vocal praise tradition.
","Yoruba
",Egba,"7°13′N, 3°31′E",Oba
29,Odeda,Ogboye," standard Egba dishes — pounded yam/amala, soups.", Yoruba formal wear for rites; everyday western attire.,communal dancing with drum accompaniment," Christianity, Islam, traditional beliefs","market days, harvest, chieftaincy events.", percussion and praise-singing.,"Yoruba
",Egba,"7°13′N, 3°31′E",Oba
30,Odeda,Ogeleje," yam/cassava-based cuisine, vegetable soups.", ceremonial Yoruba clothing for special days, drumming troupes at weddings/funerals.,"churches, mosques and traditional worship", local festivities tied to agricultural calendar, local drums and singers,"Yoruba
",Egba,"7°13′N, 3°31′E",Oba
31,Odeda,Ogunbayo," cassava, yams and soups typical of the Egba area", Yoruba traditional dress on ceremonial occasions, typical Yoruba drum/dance traditions for social events," Christianity, Islam, traditional practices", town/market/harvest days; chieftaincy ceremonies if present," talking drums, bata, praise-singers.
","Yoruba
",Egba,"7°13′N, 3°31′E",Oba
32,Odeda,Rogun," Egba staples — gari, pounded yam, efo riro, pepper soups",ceremonial Yoruba clothing (Aso-oke etc.) at special events, community drumming and dancing at marriages/funerals.,"mix of Christianity, Islam and traditional beliefs", local community events and harvest celebrations, drums and local vocalists.,"Yoruba
",Egba,"7°13′N, 3°31′E",Oba
33,Ewekoro,Agbebi,"common regional staples (yam, cassava, soups); market produce available.","Yoruba dress for ceremonies (iro & buba, gele, agbada).",drum-led dances at social events; age-grade processions," mixture of Christianity, Islam, and traditional worship.","town-day, market/harvest celebrations, chieftaincy ceremonies"," talking drum, bata, sekere and praise-singing.","Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
34,Ewekoro,Agbon,yam/cassava staples with vegetable soups,traditional Yoruba attires for formal ceremonies, local performance troupes at weddings/funerals.," churches, mosques and traditional faith practitioners.", local harvest/market days; chieftaincy celebrations.," percussion ensembles, vocal praise tradition.","Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
35,Ewekoro,Agodo,"regional staples (yam, gari, efo)",Aso-oke and everyday modern clothes,communal drumming and dances during ceremonies," Christianity, Islam, traditional beliefs",town/market day events and chieftaincy functions.,talking drums and local musicians,"Yoruba
",Egba,"7.2333°N, 3.1833° E","Oba, Olu"
36,Ewekoro,Aiyepe,"staple Egba meals — pounded yam, amala, soups with smoked fish/meat.","Yoruba ceremonial clothing, especially for weddings and naming ceremonies"," traditional drumming (e.g., bata) and social dances at festivities.","Christianity, Islam and indigenous practices.",: community/harvest festivals and market cycles; chieftaincy functions.,"percussion, praise-singing, recorded Yoruba popular music.","Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
37,Ewekoro,Ajanbata,"local staples: yam, cassava-based meals; soups and stews.",Yoruba traditional clothing at major events., local drumming and dance troupes at weddings/funerals., mixed faiths., local town days and harvest gatherings, regional percussive music and singers,"Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
38,Ewekoro,Ajegunle,local staple dishes; simple agrarian diet common,mixed modern and Yoruba traditional dress for ceremonies., drum & dance performances during rites.,": Christianity, Islam, traditional practices", chieftaincy and harvest observances.," drums (talking drum), praise-singers.","Yoruba
",Egba,"7.2333°N, 3.1833° E","Chief, Oluwo"
39,Ewekoro,Ajipatutu, typical Egba staples,Yoruba ceremonial clothing at special functions,local drumming at weddings/funerals; age-grade activities, mixed (church/mosque/traditional), community/market/harvest celebrations.,percussion ensembles and singers.,"Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
40,Ewekoro,Akakun," yam, cassava, soups; locally produced agricultural foods",Yoruba formal wear on ceremonial days., drum-based music performances for social rituals.," Christianity, Islam, and traditional beliefs present.",local market & harvest events; occasional chieftaincy ceremonies.," talking drum, bata, praise-singers.","Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
41,Ewekoro,Ake,standard regional staples; local produce, Yoruba attire for weddings/funerals., communal dances with drum accompaniment,mix of Christianity and Islam with traditionalists., local festivities and community rites., percussive music (talking drum); praise-singing.,"Yoruba
",Egba,"7.2333°N, 3.1833° E","Baale, Oba"
42,Ewekoro,Arigbajo, yam/cassava-based foods; local soups,: traditional Yoruba dress at formal events., drum ensembles at social ceremonies," Christianity, Islam and traditional practices.", town-day and harvest celebrations.,local percussion and praise singing.,"Yoruba
",Egba,"7.2333°N, 3.1833° E","Oba, Olu, Alaigbajo"
43,Ewekoro,Asa/Yobo," Egba staples (yam, gari, vegetable soups).", Yoruba ceremonial clothing for rites.,local drumming for community events., mixed faiths; churches and mosques present.," harvest, market day events and chieftaincy observances.", talking drum and local singers,"Yoruba
",Egba,"7.2333°N, 3.1833° E","Oba, Baale"
44,Ewekoro,Elere/Onigbedu,staple Yoruba cuisine sourced from local farms,traditional ceremonial wear plus modern clothes, drum-based performances during social events.," Christianity, Islam, traditional religion.",local town days and harvest observances.," percussion instruments, praise-singing.","Yoruba
",Egba,"7.2333°N, 3.1833° E",Baale
45,Ewekoro,Itori," yam, cassava and soups; local markets supply fish and meat.", Yoruba ceremonial clothes for celebrations; work clothes for quarry/industry workers.,traditional drumming at social ceremonies; town days see processions and parades.," Christianity, Islam and traditional practices", town festivals and chieftaincy events; local community observances connected to labour/market cycles,"percussion, work-song traditions, praise-singing.","Yoruba
",Egba,"7.2333°N, 3.1833° E","Oba, Olu"
46,Ewekoro,Mosan,"local staples — yam, gari, vegetable soups.",Yoruba traditional attire for formal occasions., community drumming and dances for ceremonies," churches, mosques and traditionalists.",local harvest and market festivals.,talking drum and local vocalists,"Yoruba
",Egba,"7.2333°N, 3.1833° E",Oba
47,Ewekoro,Obada-Oko,"agrarian staples: yam, cassava, soups and stews.",Yoruba ceremonial dress during festivals and rites.,drum-based performances at weddings/funerals.,Christian and Muslim communities; traditional worship present., community and agricultural celebration events., percussion and praise-singers.,"Yoruba
",Egba,"7.2333°N, 3.1833° E","Oba, Olu"
48,Ewekoro,Owowo,typical Egba/Yoruba staples, Yoruba traditional clothes for ceremonies,local drum ensembles for rites.,"Christianity, Islam, and traditional beliefs",market days and harvest events, talking drum and vocal praise tradition,"Yoruba
",Egba,"7.2333°N, 3.1833° E","Oba, Baale"
49,Ewekoro,Papalanto," local staples (yams, cassava) and market-sold produce.",Yoruba ceremonial attire; work clothes common due to quarrying/industrial activities nearby.,social dances and performance troupes at ceremonies.," Christianity, Islam and traditional practices."," town festivals, chieftaincy events and harvest/market gatherings.",percussion instruments and praise-singing.,"Yoruba
",Egba,"7.2333°N, 3.1833° E","Oba, Onipapa"
50,Ewekoro,Wasinmi,yam/cassava staples and vegetable soups., Yoruba traditional dress for communal events, drumming and social dances at weddings/funerals.," Christianity, Islam and some traditional observances.",local harvest/market celebrations., talking drum and singers,"Yoruba
",Egba,"7.2333°N, 3.1833° E","Oba, Oniwasinmi"
51,Ijebu North- East,ATAN,POUNDED YAM AND EGUSI,"Agbada, iro & buba","Bata, Egungun",Christianity/Islam,"Egungun, Gelede","Fuji, Jùjú, Apala, Sakara, Waka","Yoruba
",Ijebu,"6.846°N, 3.917°E","Oba, Elese"
52,Ijebu North- East,OGBERE,Amala & ewedu,"Ankara, lace, beadwork","Gese, Ijo Ibile",Christianity/Islam,"Oro, New Yam","Fuji, Jùjú, Apala, Sakara, Waka, Woro","Yoruba
",Ijebu,"6.850°N, 3.920°E","Oba, Sapenuwa"
53,Ijebu North- East,IMOWO,Ofada rice & ayamase,"Buba & sokoto, ipele","Gelede, Egungun",Christianity/Islam,"Gelede, Imowo Day","Fuji, Jùjú, Apala, Sakara, Waka, Woro","Yoruba
",Ijebu,"6.860°N, 3.930°E |","Oba, Olowu"
54,Ijebu North ,ATIKORI," Ikokore, pounded yam ","Agbada, iro & buba","Bata, Egungun",Christianity/Islam," Ojude Oba, Oro","Fuji, Jùjú, Apala, Sakara, Waka","Yoruba
",Ijebu,"6.850°N, 3.920°E","Oba, Keegbo"
55,Ijebu North ,OKE- AGBO,Amala & ewedu,"Ankara, lace, ipele","Gese, Ijo Ibile",Christianity/Islam,"Gelede, New Yam","Fuji, Jùjú, Apala, Sakara, Waka","Yoruba
",Ijebu,"6.852°N, 3.922°E","Oba, Bejeroku"
56,Ijebu North ,OJOWO/ JAPARA,Ofada rice & ayamase,"Buba & sokoto, gele ","Egungun, Gelede",Christianity/Islam,"Ojowo Day, Oro","Fuji, Jùjú, Apala, Sakara, Waka","Yoruba
",Ijebu,"6.854°N, 3.924°E","Oba, Olokine, Abija Parako"
57,Ijebu North ,OKE-SOPEN,Yam porridge (asaro),"Lace, traditional wraps","Bata, Gese",Christianity/Islam,"Oro, Gelede","Fuji, Jùjú, Apala, Sakara, Waka","Yoruba
",Ijebu,"6.856°N, 3.926°E","Oba, Sopenlukale"
58,Ijebu North ,OME,Eba & okra soup ,"Ankara, agbada ","Egungun, Ijo Ibile",Christianity/Islam,Ome Festival,"Fuji, Jùjú, Apala, Sakara, Waka","Yoruba
",Ijebu," 6.858°N, 3.928°E",Oba
59,Ijebu North ,ORU-AWA-ILAPORU,Fufu & vegetable soup,"Buba & sokoto, ipele","Gese, Bata ",Christianity/Islam,Oro Festival ,"Fuji, Jùjú, Apala, Sakara, Waka","Yoruba
",Ijebu,"6.860°N, 3.930°E","Oba, Oloru"
60,Ijebu North ,OSUN AND AGO- IWOYE,"      Ikokore, rice & stew","             Agbada, iro & buba","       Egungun, Gese",          Christianity/Islam,"Osun Day, Ojude Oba","Fuji, Jùjú, Apala, Sakara, Waka","Yoruba
",Ijebu,"   6.862°N, 3.932°E","Oba, Ebumawe"
61,Ijebu North ,AKO-ONIGBABGO GELETE,   Yam & garden egg sauce,      Traditional Yoruba wear,"        Bata, Ijo Ibile",          Christianity/Islam,Gelete Festival,"Fuji, Jùjú, Apala, Sakara, Waka","Yoruba
",Ijebu,"   6.864°N, 3.934°E ","Oba, Obagunte"
62,Ijebu North ,      MAMU/ EHIN- ETI,         Ofada rice & stew ,"        Buba & sokoto, ipele","      Egungun, Gelede",          Christianity/Islam,Mamu Day Celebration ,"Fuji, Jùjú, Apala, Sakara, Waka","Yoruba
",Ijebu,"   6.866°N, 3.936°E","Oba, Olu"
63,Ijebu Ode,Ijebu Ode,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,"Oba, Awujale, Osugbo, Ilamuren (Olisa, Ogbeni-Oja), Pampa"
64,Ijebu Ode,Odo-Agamegi,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,Olisa
65,Ijebu Ode,Ogbo,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,Mogosu
66,Ijebu Ode,Italupe,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,Baalele
67,Ijebu Ode,Ososa,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°42′58″ N 3°41′53″ N,"Oba, Gbegande"
68,Ijebu Ode,Imomo,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°47′60″ N 3°53′60″ N,"Chief, Olowa"
69,Ijebu Ode,Imawen,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°47′60″ N 3°53′60″ N,Oba
70,Ijebu Ode,Odo Ogbun,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,Oba
71,Ijebu Ode,Apa (Mesan),"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,Oba
72,Ijebu Ode,Okelamuren,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,"Oba, Lamuren"
73,Ijebu Ode,Abapawa,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,Oba
74,Ijebu Ode,Erunwon,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,Elerunwon
75,Ijebu Ode,Apunren,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,Oba
76,Ijebu Ode,Isonyin,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′60″ N 3°58′60″ N,"Oba, Isonyin"
77,Ijebu Ode,Imoru,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°45′0″ N 3°57′0″ N,"Oba, Orugbogbo"
78,Ijebu Ode,Oke-Eri,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°45′36″ N 3°55′48″ N,"Oba, Olu"
79,Ijebu Ode,Imagbon,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°45′55″ N 3°57′42″ N,Baale
80,Ijebu Ode,Ijebu-Isiwo,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,"Chief, Lamodi"
81,Ijebu Ode,Okemoyin,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°49′12″ N 3°55′0″ N,Chief
82,Ijebu Ode,Ijebu Imushin,"Yam, cassava dishes, local soups (egusi, efo), fish where applicable","Yoruba traditional attire: Aso-Oke, wrappers, agbada","Gelede, masquerade dances, Bata","Christianity, Islam, Traditional Yoruba religion","Agemo, Ojude Oba and local community festivals","Highlife, Juju, traditional drumming","Yoruba
",Ijebu,6°47′36″ N 3°59′30″ N,"Oba, Oloko"
83,Odogbolu,Odogbolu,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°54′0″ N 3°42′0″ N,"Oba, Alaye"
84,Odogbolu,Magbon,"Yam, cassava, soups (egusi, efo)",Traditional Yoruba attire,"Masquerade dances, local cultural dances","Christianity, Islam, Traditional Yoruba religion",Local community festivals and cultural events,"Highlife, Juju, traditional drumming","Yoruba
",Egba/Ijebu,6°54′0″ N 3°42′0″ N,Chief
